amt,city_pop,hour,day,month,day_of_week,age,distance_km,time_since_last_trans_sec,velocity_1d_count,velocity_1d_amt_sum,gender_encoded,category_encoded,is_fraud,predicted
907.32,6703,22,8,9,1,22,105.12406560879312,104663.0,1.0,907.32,0,11,0,1
5.21,1089,23,16,10,4,49,91.52393918608956,774.0,6.0,2368.8799999999997,0,9,0,1
880.88,9772,2,13,7,0,31,89.08409270196958,5067.0,7.0,1082.73,1,8,0,1
711.26,71485,1,10,8,0,46,80.06299704366637,10670.0,8.0,1557.85,0,8,0,1
702.87,1645,22,11,10,6,34,20.09416946905804,35121.0,3.0,2130.99,0,11,0,1
6025.4,1675,22,13,12,6,34,75.7863220308725,23459.0,8.0,6441.21,0,12,0,1
19.19,194500,13,8,9,1,30,116.58112373345577,38432.0,4.0,1941.46,1,9,0,1
302.13,899,22,25,12,4,53,87.5249144216,27552.0,8.0,1855.61,1,6,0,1
1615.27,248858,14,20,9,6,49,33.53265648178128,3785.0,6.0,2427.83,1,11,0,1
24.84,365,22,31,7,4,50,57.036710114447814,63846.0,3.0,1343.78,1,10,0,1
18.51,79008,23,22,8,5,36,82.08793736654637,19370.0,4.0,3015.98,1,10,0,1
1791.08,4573,22,1,8,5,32,67.01507412047533,2493.0,3.0,1843.9199999999998,1,11,0,1
25.69,105549,23,23,8,6,47,78.22380217151188,410.0,11.0,3425.25,1,10,0,1
856.83,2121,13,27,6,5,47,69.8055827378577,38319.0,5.0,2541.32,0,11,0,1
747.41,28278,2,16,11,0,43,70.2345417488825,9802.0,4.0,825.11,1,8,0,1
16.26,606,22,21,11,5,23,62.23447727499689,404.0,10.0,5699.38,0,11,0,1
2969.87,1089,22,15,8,5,49,115.25266161173478,22997.0,5.0,3364.52,0,11,0,1
2288.39,1089,12,16,10,4,49,95.36908926614609,46729.0,3.0,2396.19,0,11,0,1
12.59,269,22,16,8,6,55,105.8020911630202,31.0,6.0,3254.3100000000004,0,7,0,1
18.4,5895,22,18,9,4,45,61.38883007570453,894.0,4.0,455.37,0,7,0,1
2017.65,3688,23,12,7,6,47,42.19419688214806,42016.0,3.0,2155.77,1,11,0,1
836.07,3104,23,2,7,3,39,87.44669576196358,75337.0,3.0,1062.2900000000002,0,11,0,1
788.87,18128,1,20,8,3,30,110.2284288908836,6806.0,4.0,902.35,0,9,0,1
20.02,7297,23,3,7,4,30,27.807776268069535,30605.0,3.0,4132.22,1,5,0,1
18.44,761,22,30,11,0,77,50.33335788621793,5684.0,6.0,2454.69,0,7,0,1
818.76,5760,3,22,9,1,42,68.81161784231529,1795.0,13.0,1923.6100000000001,0,8,0,1
2753.28,2501,22,25,12,4,34,79.78154714939309,2183.0,5.0,2873.1500000000005,1,12,0,1
20.69,5161,23,3,11,1,27,49.899360496716284,932.0,10.0,2547.99,0,10,0,1
2241.91,178,22,7,11,5,37,102.07643024538348,549.0,5.0,2397.06,0,12,0,1
2721.97,1810,23,23,6,1,46,92.95770162446324,5924.0,6.0,3046.54,0,11,0,1
697.78,27971,22,6,7,0,36,85.69068393181063,3994.0,12.0,4746.67,0,12,0,1
21.03,759,11,25,12,4,63,58.373267634166304,8925.0,3.0,541.5600000000001,1,2,0,1
128.7,241,21,28,9,0,40,82.80708448388744,26100.0,5.0,1892.22,0,1,0,1
843.28,2206,5,28,7,1,34,41.77916592530527,30936.0,4.0,1710.0,0,8,0,1
1409.05,3688,22,14,10,2,47,99.79547834304991,2480.0,4.0,1538.55,1,11,0,1
23.49,3458,23,7,12,0,35,79.37480058806041,65896.0,4.0,402.57000000000005,0,10,0,1
669.78,17867,18,30,8,6,22,86.46364519260186,14370.0,10.0,2739.87,1,8,0,1
774.23,194500,1,8,7,2,30,74.36717072608874,4145.0,5.0,1540.37,1,8,0,1
20.07,6120,14,13,10,1,44,52.510302690149196,23152.0,8.0,3823.1,0,7,0,1
802.33,722,1,27,9,6,30,110.52331382097579,24654.0,5.0,1330.0500000000002,0,8,0,1
20.16,36438,12,20,7,0,35,116.00618626875524,27141.0,6.0,2605.9999999999995,0,9,0,1
14.18,626,4,23,8,6,60,38.64153838221716,44334.0,4.0,1521.0,1,3,0,1
16.8,15426,23,22,9,1,84,12.138043052514139,1395.0,5.0,1755.69,0,5,0,1
677.65,11256,1,24,10,5,48,56.39093234675824,7508.0,8.0,1999.01,0,8,0,1
9.24,156391,18,9,8,6,52,140.7351025194956,32815.0,8.0,2050.7200000000003,0,13,0,1
703.01,9496,1,20,12,6,27,56.95710798346993,13620.0,4.0,884.68,1,8,0,1
296.48,341,22,18,10,6,88,41.065197539068855,3411.0,4.0,1034.67,0,6,0,1
730.98,124967,3,2,7,3,40,82.49322025375676,21184.0,5.0,1689.78,1,8,0,1
1267.32,27020,22,11,8,1,34,78.06088097657006,2508.0,6.0,2010.3,1,11,0,1
9.26,8874,5,26,9,5,20,96.39029024024107,18929.0,4.0,1991.8899999999999,0,3,0,1
