amt,city_pop,hour,day,month,day_of_week,age,distance_km,time_since_last_trans_sec,velocity_1d_count,velocity_1d_amt_sum,gender_encoded,category_encoded,is_fraud,predicted
798.05,912,22,8,10,3,52,46.37096145765922,6590.0,7.0,2120.6800000000003,1,12,1,1
21.28,5927,22,5,12,5,47,106.40163912919445,67572.0,2.0,677.84,1,10,1,1
917.97,736284,23,30,6,1,68,71.32819803283265,728.0,7.0,5440.6,0,12,1,1
8.39,99,3,20,7,0,34,3.8396193607772693,36.0,6.0,2978.63,1,3,1,1
1030.02,59705,3,27,9,6,37,51.45137957893113,4391.0,4.0,2542.9400000000005,0,11,1,1
10.84,21902,1,16,10,4,44,124.02629881995995,13816.0,4.0,2138.32,1,2,1,1
331.19,6703,3,11,8,1,22,74.16784843510499,9356.0,8.0,2008.99,0,4,1,1
97.93,1766,23,10,8,0,44,50.81390957213119,4519.0,8.0,3056.15,0,1,1,1
308.3,1804,22,27,11,4,46,96.5714830948785,47205.0,6.0,2145.65,1,4,1,1
730.65,51427,3,11,7,5,29,43.429887767863534,5780.0,5.0,2675.07,0,12,1,1
1004.44,4049,23,16,10,4,61,107.86766417387078,1836.0,6.0,3510.05,0,11,1,1
19.45,11256,23,11,12,4,48,44.39312309234009,831.0,10.0,2438.2,0,5,1,1
766.03,3395,3,8,8,5,41,63.62891483433332,2167.0,8.0,1728.72,1,8,1,1
7.9,12335,14,7,7,1,33,18.32359264704123,15879.0,8.0,2344.59,0,13,1,0
926.72,1920,22,2,12,2,23,81.22857474982675,217.0,7.0,6053.85,1,11,1,1
272.26,3119,22,25,10,6,78,98.42251475297512,13795.0,5.0,2022.92,0,4,1,1
8.77,4161,10,20,11,4,63,89.196724176601,25488.0,4.0,229.26,0,2,1,1
1098.94,1288,23,7,11,5,84,94.98842945813178,4687.0,5.0,1272.02,0,11,1,1
285.8,43102,2,17,10,5,70,37.828815848773246,14158.0,4.0,431.63,1,4,1,1
1044.98,1461,22,5,9,5,85,30.748512977520377,1737.0,5.0,2339.52,1,11,1,1
809.78,1675,0,18,10,6,34,122.99289855110572,1201.0,5.0,3342.2799999999997,0,9,1,1
1142.66,272134,23,28,6,6,56,95.4900877169766,4338.0,4.0,2858.28,1,11,1,1
835.25,1140,23,17,12,3,34,95.67479557183363,1432.0,9.0,6225.719999999999,1,11,1,1
498.78,346,23,7,8,4,44,84.26393809455166,4329.0,8.0,2205.93,0,0,1,1
953.63,142,23,11,7,5,53,108.61373475499735,4544.0,5.0,3395.7400000000002,1,11,1,1
955.07,1770,22,7,10,2,26,72.47437257666274,16000.0,6.0,5532.39,1,11,1,1
1077.25,71463,22,1,9,1,31,101.55463329647523,78534.0,4.0,2755.84,1,11,1,1
855.54,1807,1,7,12,0,45,94.29746976446148,7755.0,2.0,988.97,0,12,1,1
311.92,395,0,15,11,6,38,86.87074891698519,241020.0,1.0,311.92,1,4,1,1
314.62,2836,1,11,9,4,35,74.63178604179767,2708.0,7.0,3811.38,1,4,1,1
891.36,4049,22,16,10,4,61,55.904563450798,66914.0,3.0,1194.4,0,11,1,1
938.8,23045,12,14,12,0,62,23.558573768606294,47704.0,5.0,3480.2799999999997,1,8,1,1
870.71,2644,3,29,10,3,37,34.805709161652075,9498.0,3.0,1365.95,0,11,1,1
274.01,42817,23,20,7,0,38,112.71997065649482,2092.0,4.0,645.25,0,6,1,0
282.22,23045,22,14,12,0,62,84.77884934801897,34306.0,6.0,3762.5,1,6,1,1
295.91,2097,0,18,7,5,33,65.8213999682589,216200.0,1.0,295.91,1,4,1,1
1027.83,1507,22,8,11,6,27,109.11242936403232,14560.0,6.0,3781.2599999999998,1,11,1,1
963.57,673342,23,23,11,0,37,100.68115370943721,4405.0,4.0,2199.71,1,11,1,1
1166.0,2799,23,11,7,5,59,78.53633260970003,1279.0,4.0,2194.4300000000003,0,11,1,1
1040.83,95015,22,19,7,6,74,54.848745440339165,62782.0,4.0,1645.4699999999998,1,11,1,1
1037.21,9784,22,3,8,0,96,31.29226635479608,1509.0,5.0,2503.61,1,11,1,1
20.49,1970,6,3,11,1,71,63.6017736170276,22890.0,4.0,391.40000000000003,1,2,1,0
966.04,3289,23,12,8,2,51,109.75167943780815,2949.0,2.0,1762.26,1,11,1,1
979.63,912,22,7,10,2,52,109.11547875804109,329.0,5.0,2593.29,1,11,1,1
10.58,1360,4,5,11,3,36,81.42241537532975,5155.0,8.0,4042.56,1,2,1,1
18.6,407,22,6,10,1,42,117.18423821596612,22415.0,7.0,3840.0,1,10,1,1
21.22,346,22,7,8,4,44,111.51319144668062,15060.0,7.0,1691.13,0,7,1,1
935.6,10256,23,13,9,6,52,120.84359595201892,149.0,8.0,5684.71,0,8,1,1
1042.2,841711,23,23,7,3,57,92.59039958495653,3516.0,4.0,3140.83,1,11,1,1
799.3,172817,23,5,12,5,38,59.01471274736878,14082.0,4.0,2358.05,1,12,1,1
